,category,headline,authors,link,short_description,date
146,RELIGION,Southern Baptist Leader Who Said Abused Women Should Just Pray Is Removed From Post,Willa Frej,https://www.huffingtonpost.com/entry/paige-patterson-women-southern-baptist_us_5b053cb4e4b05f0fc8433cea,Paige Patterson was demoted to president emeritus after thousands of evangelical women signed a petition calling for his ouster.,2018-05-23
266,RELIGION,Bishop Michael Curry: Harry And Meghan's Love Brought Different Worlds Together,Carol Kuruvilla,https://www.huffingtonpost.com/entry/bishop-michael-curry-harry-and-meghans-love-brought-different-worlds-together_us_5b0420d4e4b0a046186fe2b9,"""For a moment we were actually together, organized around love,” Curry said.",2018-05-22
284,RELIGION,"Gay Man Says Pope Francis Told Him, ‘God Made You Like That And Loves You Like That'",Dominique Mosbergen,https://www.huffingtonpost.com/entry/pope-francis-gay-man-god-made-you-like-that_us_5b02ab04e4b0a046186e0111,"His words, reportedly uttered in private, have been described as the most progressive remarks ever made by a modern pontiff about homosexuality.",2018-05-21
383,RELIGION,Every Single Chilean Bishop Offers To Resign Over Country's Sex Abuse Scandal,Carol Kuruvilla,https://www.huffingtonpost.com/entry/every-single-chilean-bishop-offers-resignation-over-countrys-sex-abuse-scandal_us_5afedcd0e4b0a046186af527,It's the first time all the bishops in one country have offered to step down over the church's sex abuse scandal.,2018-05-18
607,RELIGION,Teen Claims He Visited Heaven During Near Death Experience,Carol Kuruvilla,https://www.huffingtonpost.com/entry/teen-claims-he-visited-heaven-near-death-experience_us_5afb1ffae4b044dfffb669ef,Trenton McKinley is recovering from severe brain trauma after an accident.,2018-05-15
626,RELIGION,Coffee Shop Refuses To Serve Man After Racist Rant Against Woman In Niqab,"Tanya Edwards, Yahoo Lifestyle",https://www.huffingtonpost.com/entry/coffee-shop-refuses-to-serve-man-after-racist-rant-against-woman-in-burqa_us_5af9e3a0e4b09a94524b1cf0,The man turns to the counter and the server appears to ask him to leave. A male voice can be heard in the background yelling,2018-05-14
774,RELIGION,"TSA Tells Sikh Man To Remove Turban, Finds Out He's A Canadian Politician",Carol Kuruvilla,https://www.huffingtonpost.com/entry/tsa-sikh-canadian-politician_us_5af5dbb3e4b00d7e4c1a643f,"“Ultimately I was allowed to fly. But it was because of who I was, and that should not be the case,” said Navdeep Bains.",2018-05-11
808,RELIGION,Man Pleads Guilty To Bacon Vandalism Of Tennessee Islamic Center,Carol Kuruvilla,https://www.huffingtonpost.com/entry/man-pleads-guilty-tennessee-bacon-vandalism_us_5af459d4e4b09bb419e5a694,Charles Dwight Stout III admitted to vandalizing the Islamic Center of Murfreesboro with graffiti and strips of bacon.,2018-05-10
904,RELIGION,Mormon Church To End Its Century-Long Relationship With The Boy Scouts,"Brendan O'Brien, Reuters",https://www.huffingtonpost.com/entry/mormon-church-boy-scouts_us_5af2bd78e4b0a0d601e823d9,"Cub Scout and Boy Scout programs serve about 330,000 Mormon youth in the United States.",2018-05-09
958,RELIGION,The Religious Imagery Stitched Throughout The 2018 Met Gala,Carol Kuruvilla,https://www.huffingtonpost.com/entry/religious-imagery-2018-met-gala_us_5af1a644e4b0ab5c3d6a00b0,Some celebrities' nods to the religious theme were obvious. Others needed a closer look.,2018-05-08
974,RELIGION,Catholic Priest Praised As 'Best Dressed Dude' At Met Gala For Just Living His Life,Carol Kuruvilla,https://www.huffingtonpost.com/entry/catholic-priest-praised-as-best-dressed-dude-at-met-gala-for-just-living-his-life_us_5af1abbae4b041fd2d2b329f,"Rev. James Martin, a Jesuit priest and author, took the comments in stride.",2018-05-08
1202,RELIGION,Waste Company Says It Found Possible Ancient Pope Relic In The Garbage,Carol Kuruvilla,https://www.huffingtonpost.com/entry/pope-relic-in-garbage_us_5aeb38afe4b0ab5c3d630393,Workers reportedly discovered a leather case containing a bone fragment while sorting through trash.,2018-05-03
1426,RELIGION,Chilean Clergy Abuse Victims Took Their Stories Of Survival To Pope Francis,Carol Kuruvilla,https://www.huffingtonpost.com/entry/chilean-clergy-abuse-victims-took-their-stories-of-survival-to-pope-francis_us_5ae7712ce4b04aa23f260528,"“Today I have more hope in the future of our church,"" said Juan Carlos Cruz. ""Even though the task is enormous.”",2018-04-30
1571,RELIGION,"Many Americans Prefer A 'Higher Power' To The God Of The Bible, Study Finds",Carol Kuruvilla,https://www.huffingtonpost.com/entry/americans-belief-god-pew-survey_us_5ae214d4e4b055fd7fc9af65,But only 10 percent say they don't believe in any spiritual force.,2018-04-27
